produksi_ton,solar_liter,listrik_kWh,jam_operasi,alat_berat,emisi_CO2e
16339.0,9115.0,27243.0,505.0,20.0,28397.0
,3082.0,20037.0,361.0,13.0,15506.0
12923.0,5961.0,20950.0,397.0,16.0,21222.0
11940.0,7266.0,,392.0,14.0,21713.0
14296.0,5346.0,36962.0,349.0,17.0,22138.0
20330.0,9153.0,37705.0,459.0,25.0,32392.0
15785.0,5045.0,30546.0,429.0,19.0,24436.0
14207.0,8705.0,22565.0,411.0,17.0,25684.0
9822.0,4338.0,20685.0,429.0,12.0,16770.0
6627.0,3013.0,13439.0,449.0,8.0,10880.0
12568.0,7358.0,25517.0,448.0,15.0,
14731.0,7603.0,27466.0,333.0,18.0,25198.0
23840.0,8640.0,50308.0,472.0,29.0,36113.0
15651.0,6030.0,,420.0,,24453.0
19914.0,9947.0,37536.0,365.0,24.0,33746.0
12504.0,4846.0,22076.0,419.0,15.0,18252.0
9075.0,2162.0,18771.0,428.0,11.0,12792.0
10174.0,4524.0,15554.0,487.0,12.0,17004.0
11374.0,3435.0,18023.0,316.0,14.0,16423.0
25642.0,15684.0,45746.0,506.0,32.0,47596.0
10893.0,5094.0,13917.0,402.0,13.0,17910.0
19192.0,6899.0,39311.0,360.0,23.0,29552.0
,3986.0,15845.0,357.0,13.0,17249.0
19658.0,5132.0,32604.0,320.0,24.0,27256.0
16925.0,5755.0,29382.0,261.0,21.0,24473.0
14217.0,7842.0,25758.0,454.0,17.0,24554.0
14796.0,9960.0,25108.0,558.0,18.0,28933.0
11726.0,6129.0,20870.0,271.0,14.0,20865.0
17230.0,7595.0,30706.0,324.0,21.0,27822.0
12725.0,5177.0,21199.0,460.0,15.0,21022.0
8872.0,3144.0,13912.0,396.0,11.0,15158.0
8610.0,5648.0,18292.0,467.0,10.0,17461.0
15863.0,6839.0,18539.0,392.0,,24416.0
,15147.0,39799.0,354.0,28.0,42418.0
15800.0,9312.0,26217.0,382.0,19.0,28916.0
14407.0,3975.0,27742.0,209.0,18.0,
16429.0,6299.0,22405.0,309.0,20.0,25544.0
21530.0,,35526.0,476.0,26.0,32965.0
16097.0,7115.0,28480.0,495.0,20.0,26503.0
12945.0,5747.0,27457.0,512.0,16.0,21603.0
20531.0,15391.0,39003.0,435.0,25.0,40783.0
,5868.0,24772.0,220.0,21.0,24894.0
22679.0,10725.0,37505.0,349.0,28.0,35959.0
15916.0,8144.0,32880.0,506.0,19.0,27418.0
,3994.0,12782.0,530.0,,14614.0
8159.0,3762.0,14494.0,509.0,10.0,14105.0
23255.0,,41795.0,381.0,29.0,33987.0
23618.0,10880.0,39780.0,295.0,29.0,38274.0
14102.0,7067.0,36789.0,397.0,17.0,25054.0
13084.0,6316.0,21931.0,401.0,16.0,22256.0
22307.0,11310.0,43163.0,525.0,27.0,37289.0
9465.0,5596.0,14861.0,418.0,11.0,17402.0
10526.0,5723.0,20614.0,401.0,13.0,18163.0
18217.0,8327.0,37549.0,406.0,22.0,29849.0
13027.0,4336.0,21151.0,,,19924.0
14974.0,5840.0,26708.0,450.0,,24027.0
14183.0,6071.0,21720.0,342.0,17.0,22738.0
16688.0,7931.0,24309.0,315.0,20.0,27727.0
22037.0,8863.0,46522.0,,27.0,34994.0
15453.0,5508.0,25247.0,,19.0,22849.0
18220.0,6034.0,19603.0,531.0,22.0,27089.0
4749.0,1353.0,11064.0,247.0,5.0,7746.0
14756.0,,23011.0,353.0,18.0,23141.0
10784.0,3268.0,18614.0,478.0,13.0,16440.0
,3117.0,20415.0,400.0,11.0,14049.0
10609.0,4356.0,18645.0,295.0,13.0,15848.0
13329.0,4218.0,23340.0,434.0,16.0,20067.0
19580.0,9554.0,28029.0,405.0,24.0,31537.0
8368.0,4385.0,10958.0,383.0,10.0,14853.0
15153.0,5986.0,26519.0,350.0,18.0,
,5111.0,24012.0,397.0,15.0,19787.0
13362.0,6731.0,25276.0,353.0,16.0,22530.0
20014.0,7577.0,33135.0,595.0,25.0,31647.0
17691.0,6576.0,31951.0,381.0,22.0,26726.0
21687.0,12354.0,27084.0,370.0,27.0,36810.0
14227.0,7660.0,27574.0,357.0,17.0,24968.0
11520.0,,21294.0,542.0,14.0,20284.0
13881.0,7531.0,33204.0,269.0,17.0,24732.0
16212.0,4090.0,29219.0,429.0,20.0,22140.0
15883.0,9298.0,24097.0,381.0,19.0,28285.0
9578.0,4686.0,17095.0,286.0,11.0,17411.0
15452.0,8516.0,26295.0,334.0,19.0,26704.0
16141.0,7888.0,31159.0,,20.0,27321.0
27587.0,12549.0,49880.0,331.0,34.0,43224.0
24384.0,10302.0,34675.0,421.0,30.0,37477.0
10734.0,5224.0,14053.0,538.0,13.0,18737.0
13563.0,5681.0,25483.0,414.0,16.0,21694.0
7683.0,4124.0,17017.0,284.0,9.0,14053.0
12046.0,3510.0,21970.0,332.0,15.0,
16578.0,6562.0,33885.0,377.0,20.0,25362.0
21029.0,13763.0,44242.0,372.0,26.0,39798.0
11355.0,4399.0,21347.0,412.0,14.0,17460.0
11729.0,4998.0,,425.0,14.0,18639.0
,1542.0,7924.0,538.0,5.0,7914.0
,6860.0,30673.0,400.0,17.0,24857.0
9688.0,3646.0,18978.0,308.0,12.0,14705.0
12353.0,5329.0,25008.0,492.0,15.0,20614.0
10616.0,5678.0,17635.0,501.0,13.0,19091.0
14529.0,5523.0,25270.0,,18.0,22911.0
6211.0,3285.0,10959.0,380.0,7.0,
7665.0,4079.0,13679.0,450.0,9.0,13805.0
25646.0,14246.0,55149.0,383.0,32.0,45230.0
8563.0,3974.0,9384.0,236.0,10.0,14516.0
9516.0,7367.0,17216.0,445.0,11.0,20712.0
24185.0,13433.0,42955.0,471.0,30.0,42299.0
29525.0,14246.0,40997.0,515.0,36.0,48062.0
9142.0,3313.0,18298.0,,11.0,14126.0
13159.0,5794.0,20826.0,418.0,16.0,20681.0
16708.0,9902.0,28284.0,420.0,20.0,29854.0
23643.0,14682.0,55672.0,407.0,29.0,43537.0
10066.0,6018.0,21168.0,409.0,12.0,18752.0
13774.0,,27166.0,403.0,17.0,24338.0
18887.0,6127.0,36154.0,417.0,23.0,27142.0
17174.0,8565.0,30064.0,459.0,21.0,28944.0
13119.0,4275.0,31484.0,498.0,16.0,21322.0
14331.0,4317.0,29244.0,339.0,17.0,21397.0
8126.0,3851.0,12799.0,386.0,10.0,
13809.0,6937.0,19056.0,366.0,17.0,23339.0
13668.0,7385.0,26927.0,355.0,17.0,23732.0
16161.0,8076.0,28819.0,,20.0,
12223.0,6150.0,16762.0,402.0,,20954.0
17358.0,6102.0,33476.0,438.0,21.0,25129.0
20064.0,8818.0,,388.0,25.0,31864.0
15777.0,4722.0,30911.0,399.0,19.0,22987.0
16759.0,,32387.0,433.0,20.0,23200.0
15266.0,8000.0,24693.0,513.0,19.0,27578.0
15000.0,5620.0,29849.0,366.0,18.0,24109.0
11392.0,6120.0,18804.0,306.0,14.0,20253.0
16582.0,9300.0,27695.0,,20.0,28585.0
14514.0,5632.0,23807.0,551.0,18.0,23984.0
25466.0,12963.0,54479.0,307.0,31.0,43050.0
22867.0,8778.0,39235.0,452.0,28.0,34521.0
16929.0,4493.0,37443.0,493.0,21.0,24415.0
11185.0,5171.0,26117.0,211.0,13.0,18949.0
9438.0,3803.0,14897.0,433.0,11.0,15021.0
20956.0,8508.0,19357.0,448.0,26.0,31972.0
16314.0,10564.0,34477.0,379.0,20.0,30777.0
17401.0,5175.0,29536.0,348.0,21.0,24262.0
,3065.0,9668.0,353.0,7.0,10874.0
19637.0,6883.0,31879.0,374.0,24.0,28616.0
,9341.0,28940.0,376.0,21.0,30183.0
9448.0,4533.0,,361.0,11.0,15826.0
12642.0,6169.0,23363.0,372.0,15.0,21512.0
16319.0,,35657.0,495.0,20.0,24622.0
15262.0,5700.0,29735.0,303.0,19.0,22784.0
13539.0,7348.0,23114.0,260.0,16.0,22668.0
14483.0,9082.0,24373.0,497.0,18.0,26856.0
13740.0,6843.0,27047.0,385.0,17.0,
15763.0,5679.0,32253.0,369.0,19.0,24283.0
22357.0,10819.0,46929.0,391.0,27.0,36278.0
3000.0,2078.0,5165.0,417.0,5.0,6718.0
13816.0,6359.0,25595.0,358.0,17.0,22383.0
15883.0,9469.0,31371.0,440.0,19.0,29194.0
16480.0,6196.0,27766.0,323.0,20.0,24891.0
13140.0,5858.0,19179.0,376.0,16.0,21222.0
6216.0,3183.0,9686.0,223.0,7.0,10334.0
16640.0,8149.0,28749.0,494.0,20.0,28936.0
23637.0,8825.0,47242.0,386.0,29.0,35321.0
7331.0,2705.0,15964.0,454.0,9.0,11983.0
19319.0,10603.0,,438.0,24.0,33305.0
13357.0,7602.0,21650.0,444.0,16.0,23753.0
14693.0,8834.0,24871.0,399.0,18.0,26244.0
9736.0,6137.0,19845.0,431.0,12.0,17746.0
13328.0,6177.0,21878.0,323.0,16.0,21445.0
21500.0,9006.0,35929.0,306.0,26.0,32913.0
,10481.0,24656.0,,22.0,32387.0
23662.0,12335.0,46022.0,346.0,29.0,41148.0
20887.0,7347.0,36585.0,514.0,26.0,31481.0
17195.0,5961.0,27578.0,430.0,21.0,25015.0
23720.0,11841.0,40849.0,343.0,29.0,39576.0
17195.0,,36765.0,378.0,21.0,27297.0
19140.0,8562.0,28682.0,411.0,23.0,30352.0
13517.0,7532.0,20918.0,395.0,16.0,23440.0
15333.0,8064.0,33359.0,422.0,19.0,26539.0
11513.0,6712.0,20985.0,405.0,,20784.0
19948.0,5124.0,39914.0,289.0,24.0,26787.0
9108.0,,17493.0,228.0,11.0,14821.0
18912.0,9824.0,33841.0,370.0,23.0,32582.0
14047.0,4177.0,23816.0,,17.0,20503.0
20856.0,8019.0,42744.0,371.0,26.0,32227.0
18754.0,6863.0,40297.0,499.0,23.0,27970.0
24103.0,10899.0,51226.0,396.0,30.0,39595.0
18654.0,11431.0,26943.0,,23.0,33496.0
7140.0,4657.0,15647.0,492.0,8.0,14995.0
14665.0,5405.0,24823.0,,18.0,22816.0
9140.0,4594.0,14382.0,304.0,11.0,15308.0
12409.0,6277.0,21705.0,401.0,15.0,20451.0
22556.0,11025.0,46225.0,498.0,28.0,38982.0
18188.0,,35687.0,422.0,22.0,30952.0
11505.0,5527.0,19828.0,444.0,14.0,20023.0
9931.0,6145.0,20372.0,289.0,12.0,19347.0
15164.0,8496.0,27931.0,554.0,18.0,27371.0
8917.0,3067.0,14518.0,337.0,11.0,
11644.0,6166.0,18486.0,240.0,14.0,19566.0
16560.0,8930.0,31846.0,372.0,20.0,29097.0
20777.0,10004.0,36883.0,204.0,25.0,33345.0
18044.0,10161.0,25033.0,,22.0,30812.0
3544.0,1661.0,7279.0,605.0,5.0,7509.0
16522.0,7766.0,27359.0,370.0,20.0,26432.0
15360.0,7098.0,34985.0,286.0,19.0,25493.0
17069.0,4236.0,23541.0,402.0,21.0,23093.0
23081.0,10201.0,,328.0,28.0,35580.0
4684.0,1795.0,7447.0,469.0,5.0,8020.0
12044.0,3991.0,18156.0,329.0,15.0,17651.0
17955.0,10654.0,29696.0,422.0,22.0,32560.0
7092.0,3549.0,16533.0,308.0,8.0,12696.0
22380.0,10004.0,41246.0,608.0,27.0,37297.0
16842.0,6628.0,26315.0,440.0,21.0,26427.0
,9224.0,24068.0,388.0,24.0,30950.0
12145.0,6670.0,,377.0,15.0,21114.0
19069.0,7004.0,31255.0,356.0,23.0,
20342.0,9144.0,32749.0,339.0,25.0,32680.0
16164.0,8677.0,28009.0,337.0,20.0,27802.0
16172.0,4147.0,18086.0,534.0,20.0,22123.0
16352.0,7264.0,28983.0,356.0,20.0,26354.0
10683.0,4349.0,22524.0,230.0,13.0,17139.0
14262.0,6227.0,32616.0,307.0,17.0,22696.0
14237.0,5693.0,17536.0,474.0,17.0,22443.0
16917.0,7845.0,26383.0,380.0,21.0,26729.0
19999.0,12847.0,30873.0,389.0,24.0,37160.0
9707.0,4054.0,17898.0,494.0,12.0,16480.0
14375.0,6888.0,20615.0,338.0,17.0,24402.0
22407.0,14553.0,51642.0,451.0,28.0,41566.0
11282.0,4456.0,20455.0,347.0,14.0,18411.0
10889.0,6876.0,19197.0,446.0,13.0,21077.0
16012.0,7214.0,36471.0,369.0,20.0,26305.0
19222.0,12075.0,34507.0,381.0,24.0,34949.0
15057.0,7905.0,28911.0,466.0,18.0,25698.0
21645.0,,34085.0,460.0,27.0,34917.0
19284.0,8551.0,,387.0,24.0,30221.0
19209.0,7445.0,31059.0,362.0,24.0,28715.0
17771.0,8131.0,43646.0,528.0,22.0,30755.0
26638.0,14378.0,53008.0,447.0,33.0,45128.0
13974.0,6270.0,26304.0,369.0,17.0,22937.0
4982.0,2084.0,7509.0,348.0,6.0,8742.0
23021.0,9782.0,47732.0,482.0,28.0,37029.0
12712.0,6982.0,17703.0,409.0,15.0,22454.0
15539.0,8897.0,20666.0,387.0,19.0,
21548.0,8259.0,35173.0,409.0,26.0,32587.0
6989.0,2678.0,16677.0,427.0,8.0,11822.0
8742.0,4265.0,20712.0,395.0,10.0,15261.0
6994.0,4215.0,11642.0,496.0,8.0,14235.0
11029.0,6227.0,17622.0,501.0,13.0,21092.0
17198.0,5586.0,22493.0,443.0,21.0,24457.0
17621.0,7464.0,32130.0,510.0,22.0,27377.0
16381.0,5847.0,,401.0,20.0,25161.0
7936.0,3359.0,16165.0,455.0,9.0,14062.0
3449.0,2106.0,,480.0,5.0,8509.0
15272.0,4700.0,26585.0,482.0,19.0,22907.0
12641.0,3642.0,24863.0,473.0,15.0,19408.0
17297.0,6350.0,27499.0,,21.0,27164.0
18510.0,8861.0,36300.0,557.0,23.0,31969.0
15691.0,8035.0,25856.0,357.0,19.0,26948.0
18801.0,9283.0,36433.0,388.0,23.0,
16146.0,9164.0,30896.0,383.0,20.0,28617.0
17650.0,4831.0,32135.0,371.0,22.0,24991.0
11477.0,6528.0,23394.0,241.0,14.0,20285.0
14102.0,5906.0,18740.0,510.0,17.0,22567.0
15984.0,8362.0,23665.0,318.0,19.0,27720.0
19103.0,6068.0,32837.0,414.0,23.0,27438.0
13031.0,5871.0,17814.0,286.0,16.0,21242.0
17606.0,8339.0,29542.0,450.0,22.0,29276.0
13671.0,7732.0,23071.0,337.0,17.0,23658.0
14412.0,,31605.0,309.0,18.0,20341.0
19148.0,8675.0,35284.0,416.0,23.0,30263.0
5035.0,1719.0,10617.0,344.0,6.0,8520.0
8518.0,4264.0,16103.0,354.0,10.0,14818.0
7589.0,4005.0,12441.0,414.0,9.0,13266.0
3332.0,1928.0,6131.0,464.0,5.0,6173.0
11609.0,4603.0,23436.0,335.0,14.0,18643.0
18747.0,10175.0,40457.0,321.0,23.0,32440.0
13576.0,7957.0,23897.0,402.0,16.0,24129.0
15989.0,4568.0,20878.0,443.0,19.0,22143.0
20446.0,10453.0,,517.0,25.0,34190.0
21638.0,11811.0,36830.0,314.0,27.0,37208.0
14654.0,6215.0,16100.0,375.0,18.0,22771.0
21768.0,7160.0,50905.0,494.0,27.0,32156.0
15461.0,8415.0,30598.0,558.0,19.0,27567.0
,3569.0,17401.0,321.0,13.0,16629.0
12028.0,5198.0,17646.0,341.0,15.0,19288.0
7597.0,3388.0,16018.0,430.0,9.0,13210.0
10559.0,5507.0,15479.0,354.0,13.0,18045.0
13210.0,5117.0,19743.0,339.0,,19909.0
19018.0,7256.0,29862.0,420.0,23.0,28574.0
23604.0,10855.0,43295.0,524.0,29.0,37755.0
8089.0,4454.0,16067.0,295.0,10.0,15105.0
16964.0,11514.0,36605.0,,21.0,33126.0
9797.0,2932.0,20706.0,,12.0,
17373.0,8366.0,31276.0,428.0,21.0,29090.0
14345.0,4896.0,30212.0,527.0,17.0,22388.0
5845.0,3226.0,9345.0,426.0,7.0,10650.0
19641.0,6995.0,24625.0,376.0,24.0,28749.0
11975.0,4581.0,19144.0,457.0,14.0,18647.0
12330.0,4822.0,19212.0,386.0,15.0,20559.0
9651.0,4270.0,15542.0,442.0,12.0,16662.0
11729.0,5657.0,17736.0,384.0,14.0,19746.0
17139.0,8542.0,28480.0,469.0,21.0,29609.0
14054.0,6316.0,27911.0,288.0,17.0,23448.0
16643.0,,38522.0,319.0,20.0,23903.0
16810.0,8788.0,21557.0,287.0,21.0,27922.0
21603.0,9607.0,30540.0,395.0,27.0,34217.0
13286.0,7522.0,20760.0,278.0,16.0,23481.0
7616.0,2888.0,15458.0,345.0,9.0,
20336.0,5893.0,35355.0,311.0,25.0,28527.0
13343.0,5959.0,21118.0,518.0,,21859.0
,11924.0,41455.0,321.0,25.0,
16917.0,7885.0,35304.0,297.0,21.0,27042.0
14344.0,6169.0,25739.0,420.0,17.0,22985.0
16744.0,6077.0,26039.0,535.0,20.0,24747.0
24755.0,15491.0,46566.0,391.0,30.0,44455.0
25385.0,8810.0,43916.0,397.0,31.0,37583.0
15347.0,,26515.0,503.0,19.0,24147.0
,8011.0,26013.0,470.0,19.0,
20381.0,5389.0,42342.0,434.0,25.0,29291.0
10772.0,6220.0,20197.0,353.0,13.0,20166.0
16665.0,8540.0,35176.0,436.0,20.0,28680.0
14871.0,8029.0,32729.0,291.0,18.0,26014.0
16570.0,8381.0,32107.0,350.0,20.0,27799.0
,4700.0,17854.0,515.0,13.0,18400.0
7052.0,,14895.0,504.0,8.0,11076.0
4635.0,2021.0,8991.0,435.0,5.0,9349.0
9413.0,3318.0,24295.0,,11.0,15195.0
12707.0,6336.0,24054.0,303.0,15.0,20852.0
13534.0,7182.0,27194.0,346.0,16.0,23121.0
24686.0,14754.0,46586.0,386.0,30.0,44222.0
20530.0,,36344.0,300.0,25.0,33527.0
10190.0,5527.0,17550.0,380.0,12.0,18334.0
16739.0,7035.0,31607.0,541.0,20.0,26931.0
12965.0,5214.0,25363.0,432.0,16.0,21572.0
13578.0,,29143.0,418.0,16.0,23358.0
15927.0,6551.0,30144.0,319.0,19.0,26249.0
18096.0,8630.0,30060.0,269.0,,29694.0
13304.0,4575.0,22642.0,302.0,16.0,19146.0
20319.0,,28510.0,266.0,25.0,30876.0
9290.0,4771.0,21353.0,406.0,11.0,17141.0
15032.0,8097.0,24617.0,431.0,18.0,26318.0
27988.0,9836.0,58502.0,323.0,34.0,41890.0
16115.0,8333.0,30345.0,412.0,20.0,27061.0
,8794.0,41919.0,518.0,,33788.0
15458.0,6981.0,27279.0,557.0,19.0,
17904.0,10594.0,27996.0,,22.0,32740.0
14716.0,7811.0,22213.0,386.0,18.0,25444.0
14148.0,7493.0,32803.0,459.0,17.0,25936.0
11103.0,7115.0,20364.0,508.0,13.0,21994.0
17152.0,6511.0,36663.0,239.0,21.0,26231.0
10742.0,3775.0,23799.0,519.0,13.0,17796.0
18328.0,,30731.0,356.0,22.0,28611.0
20426.0,8672.0,39363.0,357.0,25.0,32290.0
16833.0,3611.0,30526.0,372.0,21.0,22437.0
13569.0,5824.0,19713.0,,,21854.0
17270.0,6831.0,,,21.0,25394.0
13457.0,7110.0,26594.0,377.0,16.0,23565.0
19678.0,9548.0,32474.0,442.0,24.0,32958.0
5843.0,2278.0,9948.0,417.0,7.0,9955.0
13322.0,6781.0,23287.0,430.0,16.0,
,2636.0,12279.0,374.0,6.0,9539.0
7525.0,2808.0,9404.0,455.0,9.0,11160.0
21819.0,8743.0,42558.0,485.0,27.0,35082.0
19476.0,4430.0,33576.0,480.0,24.0,26258.0
11403.0,3888.0,18333.0,434.0,14.0,17118.0
7487.0,2813.0,12853.0,475.0,9.0,13042.0
3000.0,1372.0,6001.0,470.0,5.0,6645.0
12283.0,4366.0,24778.0,614.0,,19811.0
27102.0,10804.0,50296.0,497.0,33.0,42409.0
17174.0,5624.0,36544.0,393.0,21.0,25054.0
12202.0,5700.0,26609.0,,15.0,
17325.0,8534.0,35429.0,379.0,21.0,
7195.0,3527.0,11772.0,373.0,8.0,12239.0
13513.0,6098.0,26329.0,441.0,16.0,21939.0
15497.0,4586.0,30216.0,344.0,19.0,
14569.0,5653.0,22660.0,495.0,18.0,22926.0
18954.0,7757.0,25193.0,289.0,23.0,29277.0
16723.0,6851.0,19954.0,269.0,20.0,24789.0
18342.0,8391.0,33399.0,389.0,22.0,28580.0
